challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.72848,0.8561,0.63207,0.85369
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,1,250,none,0.71922,0.86986,0.64078,0.84825
t-C2C,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.79687,0.90118,0.6315,0.89345
t-C2C,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,1000,none,0.73794,1.02224,0.71373,0.8594
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.73723,0.77674,0.56518,0.85897
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.72464,0.79463,0.57679,0.85152
t-C2C,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.72326,0.98843,0.70141,0.85132
t-C2C,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,2,500,none,0.67312,1.07278,0.76371,0.82101
t-F2F,none,totallyrandom,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.71178,0.81081,0.59657,0.8434
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.69926,0.82866,0.60628,0.83599
t-F2F,none,totallyrandom,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.74505,0.82784,0.61325,0.86309
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,2,500,pdm,0.73329,0.84513,0.62437,0.85611
t-C2C,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.61107,1.1732,0.87116,0.78186
t-C2C,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.4184,1.41311,1.07098,0.66242
t-F2F,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.65422,0.87847,0.65326,0.80901
t-F2F,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.39436,1.15737,0.86318,0.65272
t-F2F,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.70543,0.88082,0.6564,0.84004
t-F2F,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.50534,1.1347,0.8431,0.7231
t-C2C,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.66096,1.16696,0.86062,0.8132
t-C2C,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,100,none,0.49659,1.39485,1.08115,0.71594
t-F2F,none,occurrence,mass,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.64023,0.89586,0.66934,0.80032
t-F2F,none,occurrence,mass,valid,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,0,100,pdm,0.40788,1.14487,0.87929,0.6576
t-F2F,none,occurrence,molar,train,mean,chemprop,pdm,taxprop-migrate2,exp-dropfirst,True,1,250,pdm,0.73217,0.83537,0.61476,0.85503
