challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_inducing,tax_pdm,r2,rmse,mae,pearson
s-F2F-1,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.72345,0.77346,0.56558,0.85028
s-F2F-1,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,1,250,none,0.69014,0.81938,0.59681,0.83042
s-F2F-1,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.8393,0.63791,0.45199,0.9166
s-F2F-1,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.77908,0.74572,0.51455,0.88279
s-F2F-1,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.74017,0.81635,0.60356,0.86082
s-F2F-1,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.44557,1.17078,0.90047,0.68469
s-F2F-1,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.66531,0.86031,0.63846,0.81548
s-F2F-1,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,0,100,none,0.28709,1.22389,0.92603,0.57086
s-F2F-1,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.91676,0.45949,0.31345,0.95763
s-F2F-1,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.85873,0.59748,0.39389,0.92679
s-F2F-1,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.9162,0.4286,0.28779,0.95733
s-F2F-1,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.84159,0.58805,0.38098,0.91749
s-F2F-1,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.92812,0.42927,0.28924,0.96345
s-F2F-1,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,3,1000,none,0.52839,1.07571,0.81436,0.74602
s-F2F-1,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.91348,0.43845,0.29721,0.95586
s-F2F-1,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,2,500,none,0.43313,1.10173,0.82875,0.69119
