feature,value,set,chem_prop,tax_prop,exp,challenge,chem_fp,conctype,groupsplit,tax_pdm,n_inducing,fold
.mean_function.c,-1.74819,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].variance,0.1191,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[1].variance,0.72532,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].variance,0.61536,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.likelihood.variance,0.84566,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.result_conc1_type_F,284.23052,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.result_conc1_type_T,56.70439,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.test_exposure_type_NR,4.38875,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.test_exposure_type_R,2.82983,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.test_exposure_type_S,5.87976,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.test_media_type_SW,3.84229,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[0].lengthscales.result_obs_duration_mean,4.36011,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[1].lengthscales.chem_mw,0.6183,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[1].lengthscales.chem_mp,5.90023,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[1].lengthscales.chem_ws,1.06591,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[1].lengthscales.chem_rdkit_clogp,0.88416,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_food_B,121.85811,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_food_C,2338.42511,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_food_D,1079.67867,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_food_H,10.81224,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_food_O,4.02982,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_food_P,10.83813,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_climate_A,9.10592,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_climate_B,2481.88922,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_climate_C,10.14874,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_climate_D,2526.66638,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_climate_E,63.49046,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
.kernel.kernels[2].lengthscales.tax_eco_climate_M,2053.29365,trainvalid,chemprop,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,none,100,trainvalid
