challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
t-A2A,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.30283,1.18362,0.92999,0.55013
t-A2A,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.27613,1.19472,0.94211,0.52721
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.54755,1.10525,0.84133,0.73996
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.54523,1.1075,0.84337,0.73884
t-C2C,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.48056,1.44135,1.11562,0.69322
t-C2C,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.47426,1.44776,1.12062,0.69052
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,6e-05,0.46794,1.10527,0.84431,0.68406
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,6e-05,0.46519,1.10753,0.84638,0.68261
t-A2A,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.32925,1.18747,0.93436,0.57364
t-A2A,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.30272,1.19806,0.94637,0.55169
t-C2C,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.41663,1.43506,1.11236,0.64546
t-C2C,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.40943,1.44149,1.11736,0.64209
t-C2C,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,22,0.25119,0.39859,1.45986,1.12666,0.63127
t-C2C,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,22,0.25119,0.36057,1.48043,1.15223,0.61345
t-F2F,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,11,0.00158,0.48376,1.07346,0.81233,0.69546
t-F2F,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,11,0.00158,0.40093,1.14963,0.86048,0.65006
t-F2F,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.5214,1.12285,0.84433,0.72199
t-F2F,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,20,0.1,0.4919,1.14973,0.8658,0.70981
t-C2C,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.47642,1.45008,1.11824,0.69017
t-C2C,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.42509,1.49256,1.15827,0.66355
t-A2A,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,21,0.15849,0.32929,1.1577,0.92002,0.57351
t-A2A,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,21,0.15849,0.26182,1.21414,0.97888,0.5654
t-A2A,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,22,0.25119,0.2833,1.16881,0.93255,0.53214
t-A2A,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,22,0.25119,0.23289,1.21267,0.98509,0.52446
t-C2C,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.74712,1.0057,0.72913,0.86436
t-C2C,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.72832,1.04075,0.75437,0.85372
t-A2A,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,13,0.00398,0.78674,0.66927,0.50718,0.88697
t-A2A,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,13,0.00398,0.62795,0.86427,0.64845,0.80346
t-F2F,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.68052,0.85647,0.63469,0.82493
t-F2F,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.67257,0.86644,0.64146,0.82025
t-C2C,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.71575,1.00174,0.72529,0.84602
t-C2C,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.69452,1.03673,0.75009,0.83373
t-F2F,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.7251,0.8615,0.63861,0.85153
t-F2F,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.71827,0.87154,0.64541,0.84763
t-A2A,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,13,0.00398,0.77745,0.66844,0.5074,0.88171
t-A2A,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,13,0.00398,0.61448,0.86109,0.64459,0.79516
t-A2A,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.65922,0.82159,0.62812,0.8115
t-A2A,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.47803,1.0077,0.792,0.70235
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.60976,0.93306,0.70088,0.78082
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.43842,1.11244,0.85598,0.68578
t-C2C,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.71609,1.00296,0.72827,0.84619
t-C2C,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.57839,1.20018,0.87851,0.76442
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.68416,0.91202,0.68313,0.82712
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.51715,1.1198,0.86838,0.73645
t-A2A,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.64465,0.8199,0.62584,0.80251
t-A2A,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.46151,1.00502,0.78966,0.68838
t-C2C,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.72314,1.05432,0.7739,0.85036
t-C2C,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.62462,1.20268,0.88505,0.79204
t-C2C,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.80984,0.87211,0.60825,0.89991
t-C2C,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.77019,0.95744,0.6688,0.87818
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.77406,0.72023,0.52034,0.8798
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.75461,0.74976,0.53859,0.86892
t-A2A,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.771,0.67817,0.51732,0.87806
t-A2A,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.6281,0.85011,0.64465,0.7994
t-C2C,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.78534,0.87053,0.60661,0.88619
t-C2C,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.7402,0.95626,0.6681,0.8611
t-A2A,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.78117,0.67803,0.51703,0.88382
t-A2A,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.64798,0.84465,0.64368,0.80959
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.80697,0.7219,0.52163,0.89831
t-F2F,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.79033,0.75151,0.53995,0.88919
t-A2A,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.64663,0.83661,0.63678,0.80367
t-A2A,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.40972,1.06343,0.83353,0.66594
t-F2F,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.61297,0.92924,0.69245,0.78287
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.4414,1.11113,0.84978,0.68238
t-F2F,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.66881,0.93384,0.69638,0.81777
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.52444,1.11323,0.84762,0.73713
t-C2C,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.73998,1.02197,0.74417,0.86021
t-C2C,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,0.01585,0.63224,1.1912,0.8779,0.79796
t-C2C,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.6797,1.06528,0.78597,0.82443
t-C2C,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.57961,1.1955,0.89254,0.76397
t-A2A,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.63232,0.83393,0.63359,0.79475
t-A2A,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.39382,1.06033,0.82947,0.65377
t-A2A,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.78893,0.65094,0.4869,0.8882
t-A2A,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.6512,0.82053,0.62324,0.81322
t-A2A,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.79732,0.65234,0.48771,0.8929
t-A2A,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.66398,0.82259,0.62142,0.82118
t-C2C,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.78514,0.8709,0.60457,0.88608
t-C2C,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.7337,0.96709,0.67128,0.85763
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.79419,0.74542,0.54105,0.89117
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.77955,0.77085,0.5568,0.88306
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.75872,0.74429,0.54028,0.87105
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.74186,0.76925,0.55581,0.86148
t-C2C,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.81,0.87172,0.60506,0.9
t-C2C,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,9,0.00063,0.76392,0.9692,0.67207,0.87495
t-C2C,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.7566,0.9288,0.65594,0.86981
t-C2C,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,0.00631,0.59066,1.18217,0.876,0.7752
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.68207,0.84248,0.61566,0.82587
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,15,0.01,0.41787,1.13393,0.87869,0.68002
t-A2A,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,0.00251,0.79362,0.63698,0.45955,0.89061
t-A2A,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,12,0.00251,0.45095,1.02416,0.80971,0.69847
t-A2A,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.67575,0.78228,0.58993,0.82162
