challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,6e-05,0.46794,1.10527,0.84431,0.68406
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,4,6e-05,0.46519,1.10753,0.84638,0.68261
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.54755,1.10525,0.84133,0.73996
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,5,0.0001,0.54523,1.1075,0.84337,0.73884
t-F2F,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.48352,1.10323,0.83841,0.69522
t-F2F,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.44166,1.1362,0.8577,0.68053
t-F2F,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.56065,1.10198,0.83477,0.74868
t-F2F,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,0.001,0.5244,1.13462,0.85382,0.73727
t-F2F,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.68052,0.85647,0.63469,0.82493
t-F2F,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.67257,0.86644,0.64146,0.82025
t-F2F,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.7251,0.8615,0.63861,0.85153
t-F2F,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,0,1e-05,0.71827,0.87154,0.64541,0.84763
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.61289,0.95517,0.71593,0.78285
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,17,0.02512,0.48153,1.09909,0.84485,0.70688
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.63537,1.00407,0.7571,0.79708
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,18,0.03981,0.55601,1.09947,0.84062,0.75492
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.77406,0.72023,0.52034,0.8798
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.75461,0.74976,0.53859,0.86892
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,3,4e-05,0.80697,0.7219,0.52163,0.89831
