challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,alpha,r2,rmse,mae,pearson
s-F2F-1,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.76613,0.7702,0.56748,0.87528
s-F2F-1,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.73344,0.8213,0.59776,0.85672
s-F2F-1,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.7317,0.7669,0.56474,0.85539
s-F2F-1,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,10,0.001,0.69408,0.818,0.5947,0.83354
s-F2F-1,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,14,0.00631,0.73398,0.76927,0.56366,0.85672
s-F2F-1,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,14,0.00631,0.45745,1.0791,0.83989,0.71734
s-F2F-1,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,14,0.00631,0.76827,0.77137,0.5659,0.8765
s-F2F-1,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,14,0.00631,0.5271,1.08215,0.84437,0.7572
s-F2F-1,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.86279,0.58994,0.42297,0.92887
s-F2F-1,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.78365,0.73937,0.49687,0.88697
s-F2F-1,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.84211,0.58831,0.42205,0.91766
s-F2F-1,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,9,0.00063,0.75135,0.73686,0.4961,0.86917
s-F2F-1,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,20,0.1,0.55221,1.07182,0.80973,0.74293
