feature,value,set,chem_prop,tax_pdm,tax_prop,exp,challenge,chem_fp,conctype,groupsplit,alpha,fold
intercept,-5.64297,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
result_conc1_type_F,0.12305,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
result_conc1_type_T,-1.35324,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
test_exposure_type_NR,0.29359,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
test_exposure_type_R,0.29776,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
test_exposure_type_S,0.28433,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
test_media_type_SW,-0.29259,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
result_obs_duration_mean,-0.1005,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
chem_mw,-0.76918,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
chem_mp,-0.11923,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
chem_ws,-0.03708,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
chem_rdkit_clogp,-0.53184,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_food_C,0.06245,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_food_D,0.19055,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_food_H,0.08582,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_food_O,0.1201,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_food_P,-0.18565,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_climate_A,0.1757,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_climate_B,-0.04142,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_climate_C,0.16604,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_climate_D,-0.0912,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_climate_M,-0.00485,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_MA,-0.16968,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_MC,-0.45341,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_MI,-0.60658,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_MN,-1.03492,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_MP,0.07662,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_TA,-0.28793,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_TH,0.13332,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_TN,-0.06806,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_eco_ecozone_TP,0.11394,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_ps_ampv,0.00952,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_ps_ampkap,-0.00637,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_ps_amppm,0.00877,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_lh_amd,-0.07645,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
tax_lh_licm,0.02766,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,totallyrandom,0.0001,trainvalid
intercept,-5.60102,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
result_conc1_type_F,0.09419,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
result_conc1_type_T,-1.59639,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
test_exposure_type_NR,0.2914,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
test_exposure_type_R,0.26483,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
test_exposure_type_S,0.27396,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
test_media_type_SW,-0.26627,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
result_obs_duration_mean,-0.09401,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_mw,-0.69861,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_mp,-0.18279,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_ws,-0.03953,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
chem_rdkit_clogp,-0.57675,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_D,0.01502,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_H,0.24472,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_O,0.16243,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_food_P,-0.31036,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_A,0.29026,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_C,0.17265,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_D,-0.10506,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_climate_M,-0.03254,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_MA,-0.10851,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_MC,-0.37994,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_MP,0.12578,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_TA,-0.19859,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_TH,0.17823,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_eco_ecozone_TN,-0.11863,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_ps_ampv,0.0153,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_ps_ampkap,-0.02218,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_ps_amppm,0.01934,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_lh_amd,-0.0562,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
tax_lh_licm,0.02738,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,molar,occurrence,0.001,trainvalid
intercept,-0.28018,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
result_conc1_type_F,0.1122,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
result_conc1_type_T,-1.41171,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_exposure_type_NR,0.3023,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_exposure_type_R,0.30168,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_exposure_type_S,0.29103,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
test_media_type_SW,-0.29315,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
result_obs_duration_mean,-0.0998,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_mw,-0.58724,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_mp,-0.10728,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_ws,-0.07157,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
chem_rdkit_clogp,-0.53697,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
tax_eco_food_C,0.06893,trainvalid,chemprop,none,taxprop-migrate2,exp-dropfirst,t-F2F,none,mass,totallyrandom,6e-05,trainvalid
