feature,value,set,chem_prop,tax_pdm,tax_prop,exp,challenge,chem_fp,conctype,groupsplit,alpha,fold
intercept,-5.37773,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
result_conc1_type_F,0.26018,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
result_conc1_type_T,-0.86063,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
test_exposure_type_NR,-0.10846,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
test_exposure_type_R,0.21908,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
test_exposure_type_S,0.09879,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
test_media_type_SW,-0.3319,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
result_obs_duration_mean,-0.10557,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
chem_mw,-0.75188,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
chem_mp,-0.03075,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
chem_ws,-0.02226,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
chem_rdkit_clogp,-0.53201,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,totallyrandom,1e-05,trainvalid
intercept,-5.31107,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
result_conc1_type_F,0.32141,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
result_conc1_type_T,-0.89841,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
test_exposure_type_S,0.04542,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
result_obs_duration_mean,-0.11723,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
chem_mw,-0.7683,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
chem_mp,-0.01517,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
chem_ws,-0.02993,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
chem_rdkit_clogp,-0.552,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,molar,occurrence,0.01,trainvalid
intercept,0.00125,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
result_conc1_type_F,0.25566,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
result_conc1_type_T,-0.93432,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
test_exposure_type_NR,-0.1033,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
test_exposure_type_R,0.21551,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
test_exposure_type_S,0.11535,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
test_media_type_SW,-0.38174,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
result_obs_duration_mean,-0.10608,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
chem_mw,-0.58585,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
chem_mp,-0.02172,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
chem_ws,-0.05162,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
chem_rdkit_clogp,-0.53267,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,totallyrandom,1e-05,trainvalid
intercept,0.10968,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
result_conc1_type_F,0.30956,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
result_conc1_type_T,-0.99734,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
result_obs_duration_mean,-0.11748,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
chem_mw,-0.60251,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
chem_ws,-0.05999,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
chem_rdkit_clogp,-0.55396,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,none,mass,occurrence,0.01585,trainvalid
intercept,-4.69294,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
result_conc1_type_F,0.17868,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
result_conc1_type_T,-0.77033,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
test_exposure_type_NR,-0.05205,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
test_exposure_type_R,0.24176,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
test_exposure_type_S,0.07287,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
result_obs_duration_mean,-0.21571,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS019,-0.77859,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS021,1.21388,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS022,-0.98675,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS023,-1.26777,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS025,-0.1346,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS028,-1.14177,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS031,-0.99381,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS032,-0.97178,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS034,0.19384,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS035,-0.27262,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS036,0.02185,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS038,-0.21065,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS041,-0.35906,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS042,0.43554,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS043,-0.24954,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS044,-0.27262,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS047,0.21197,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS048,0.08617,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS049,-1.00526,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
MACCS050,0.23882,trainvalid,chemprop,none,none,exp-dropfirst,s-F2F-1,MACCS,molar,totallyrandom,0.001,trainvalid
