challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-A2A,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.83496,0.57559,0.41257,0.91688
t-A2A,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,30,150,50,sqrt,1.0,1,5,0.64537,0.83139,0.60026,0.80549
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.96573,0.30417,0.19535,0.98318
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,26,150,50,sqrt,1.0,1,2,0.88105,0.56619,0.36967,0.93895
t-C2C,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.94276,0.47842,0.29659,0.97192
t-C2C,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.8055,0.88057,0.57793,0.89812
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.95987,0.30354,0.19524,0.98041
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.85934,0.56777,0.37016,0.92745
t-A2A,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,102,150,100,sqrt,1.0,1,5,0.84149,0.57697,0.41323,0.92006
t-A2A,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,102,150,100,sqrt,1.0,1,5,0.65893,0.83312,0.59966,0.81387
t-C2C,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.93597,0.47537,0.29523,0.96877
t-C2C,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.7765,0.88668,0.58119,0.88187
