challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,max_depth,max_features,max_samples,min_samples_leaf,min_samples_split,r2,rmse,mae,pearson
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.95978,0.30388,0.19551,0.98037
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.85932,0.56777,0.37041,0.92744
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.9659,0.30341,0.19498,0.98329
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.88127,0.56567,0.36867,0.93909
t-F2F,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,39,300,50,1,0.25,1,2,0.86715,0.5595,0.38927,0.9364
t-F2F,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,39,300,50,1,0.25,1,2,0.50347,1.07446,0.8193,0.72529
t-F2F,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,39,300,50,1,0.25,1,2,0.88643,0.56026,0.39013,0.94556
t-F2F,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,39,300,50,1,0.25,1,2,0.57454,1.07722,0.82441,0.77243
t-F2F,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96417,0.28683,0.17475,0.98215
t-F2F,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.89187,0.4976,0.31204,0.94443
t-F2F,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96955,0.28673,0.17464,0.98482
t-F2F,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.90797,0.49779,0.31211,0.95291
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.96117,0.30239,0.1798,0.98052
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,169,100,200,sqrt,1.0,1,2,0.57948,0.98807,0.74984,0.79732
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,88,50,100,sqrt,0.5,1,5,0.94035,0.40601,0.26441,0.97014
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,88,50,100,sqrt,0.5,1,5,0.63334,0.9988,0.76326,0.82939
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96423,0.28659,0.17431,0.98216
t-F2F,pcp,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.89242,0.49634,0.31119,0.9447
t-F2F,pcp,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96954,0.28677,0.17451,0.98481
t-F2F,pcp,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.90841,0.49661,0.31118,0.95313
t-F2F,pcp,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,161,100,200,sqrt,0.5,1,5,0.92971,0.40694,0.26462,0.96476
t-F2F,pcp,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,161,100,200,sqrt,0.5,1,5,0.58717,0.97838,0.74408,0.79692
t-F2F,pcp,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,172,50,200,sqrt,1.0,1,5,0.95463,0.3541,0.22387,0.97722
t-F2F,pcp,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,172,50,200,sqrt,1.0,1,5,0.63613,0.99407,0.75754,0.82144
t-F2F,Morgan,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.96927,0.28803,0.17613,0.9847
t-F2F,Morgan,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,27,300,50,sqrt,1.0,1,2,0.90578,0.50371,0.31646,0.95176
t-F2F,Morgan,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96387,0.28802,0.17585,0.98203
t-F2F,Morgan,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.88957,0.5029,0.31601,0.94322
t-F2F,Morgan,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,150,100,sqrt,0.25,1,2,0.93259,0.43161,0.28329,0.96644
t-F2F,Morgan,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,74,150,100,sqrt,0.25,1,2,0.61934,1.01738,0.77163,0.81378
t-F2F,Morgan,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.96084,0.30368,0.18096,0.98036
t-F2F,Morgan,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,100,100,sqrt,1.0,1,2,0.57034,0.99962,0.75763,0.78703
t-F2F,ToxPrint,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96927,0.28801,0.17621,0.98471
t-F2F,ToxPrint,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.90622,0.50254,0.31667,0.95201
t-F2F,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.96395,0.28771,0.1761,0.98208
t-F2F,ToxPrint,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,300,200,sqrt,1.0,1,2,0.88988,0.50221,0.31624,0.94339
t-F2F,ToxPrint,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96123,0.30218,0.17999,0.98057
t-F2F,ToxPrint,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.58099,0.98689,0.74691,0.79165
t-F2F,ToxPrint,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.95423,0.35566,0.2265,0.97719
t-F2F,ToxPrint,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,14,150,50,sqrt,0.5,1,2,0.63497,0.99782,0.75482,0.82421
t-F2F,mol2vec,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,99,300,100,sqrt,1.0,1,2,0.96931,0.28782,0.17476,0.98467
