challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-A2A,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,220,50,0.2,1,9,3,0.5,0.81447,0.61039,0.44589,0.90379
t-A2A,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,220,50,0.2,1,9,3,0.5,0.66204,0.8102,0.59388,0.81678
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.97059,0.28179,0.17168,0.98524
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,187,100,0.2,0,12,3,1.0,0.90314,0.51065,0.32211,0.95037
t-C2C,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.93617,0.5052,0.31251,0.96787
t-C2C,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.82867,0.8267,0.5325,0.9107
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,315,100,0.3,0,9,1,1.0,0.9604,0.3015,0.19212,0.98014
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,315,100,0.3,0,9,1,1.0,0.88542,0.5121,0.32706,0.94099
t-A2A,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,222,100,0.2,1,9,3,0.5,0.83335,0.59172,0.42875,0.9136
t-A2A,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,222,100,0.2,1,9,3,0.5,0.66147,0.8278,0.59657,0.81718
t-C2C,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.92779,0.50486,0.31129,0.96362
t-C2C,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.8034,0.83171,0.53421,0.89682
t-C2C,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,50,0.1,0,6,3,0.5,0.83244,0.77047,0.53815,0.91531
t-C2C,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,16,50,0.1,0,6,3,0.5,0.4665,1.35391,1.04183,0.70351
t-F2F,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,252,50,0.2,10,6,1,0.5,0.82061,0.63274,0.45878,0.90773
t-F2F,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,252,50,0.2,10,6,1,0.5,0.50456,1.04554,0.80963,0.72474
t-F2F,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,106,100,0.1,10,3,5,0.5,0.7744,0.77082,0.57091,0.88149
t-F2F,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,106,100,0.1,10,3,5,0.5,0.56128,1.06865,0.82075,0.75696
t-C2C,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,92,50,0.1,1,12,5,0.5,0.90274,0.62486,0.41548,0.95115
t-C2C,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,92,50,0.1,1,12,5,0.5,0.52013,1.366,1.03331,0.73654
t-A2A,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,116,50,0.1,10,6,5,0.5,0.61709,0.8728,0.67668,0.8018
t-A2A,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,116,50,0.1,10,6,5,0.5,0.32709,1.14192,0.91548,0.61068
t-A2A,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,241,50,0.2,10,3,1,1.0,0.59951,0.87192,0.67851,0.79527
