challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
t-F2F,none,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,100,0.2,0,9,1,1.0,0.95543,0.31989,0.20961,0.97772
t-F2F,none,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,171,100,0.2,0,9,1,1.0,0.88377,0.51596,0.33219,0.94012
t-F2F,none,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,315,100,0.3,0,9,1,1.0,0.96899,0.28932,0.18097,0.98444
t-F2F,none,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,315,100,0.3,0,9,1,1.0,0.90157,0.51487,0.32649,0.94956
t-F2F,none,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,50,0.1,10,3,1,1.0,0.69399,0.84913,0.63392,0.8366
t-F2F,none,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,97,50,0.1,10,3,1,1.0,0.49385,1.08433,0.82504,0.72152
t-F2F,none,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,100,0.1,0,3,5,0.5,0.77898,0.7816,0.57799,0.88402
t-F2F,none,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,10,100,0.1,0,3,5,0.5,0.56646,1.08747,0.827,0.77135
t-F2F,MACCS,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,38,100,0.1,0,12,1,0.5,0.96193,0.29563,0.18943,0.98092
t-F2F,MACCS,totallyrandom,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,38,100,0.1,0,12,1,0.5,0.89215,0.49684,0.31488,0.94455
t-F2F,MACCS,totallyrandom,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,47,100,0.1,0,12,5,1.0,0.96682,0.29926,0.18776,0.98336
t-F2F,MACCS,totallyrandom,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,47,100,0.1,0,12,5,1.0,0.90846,0.49639,0.31423,0.95315
t-F2F,MACCS,occurrence,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,24,50,0.1,0,9,1,0.5,0.92374,0.42391,0.29464,0.96222
t-F2F,MACCS,occurrence,mass,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,24,50,0.1,0,9,1,0.5,0.57035,1.0023,0.763,0.7838
t-F2F,MACCS,occurrence,molar,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,35,100,0.1,0,9,5,1.0,0.95104,0.36788,0.24377,0.97544
t-F2F,MACCS,occurrence,molar,valid,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,35,100,0.1,0,9,5,1.0,0.6183,1.02066,0.77364,0.80801
t-F2F,pcp,totallyrandom,mass,train,mean,chemprop,none,taxprop-migrate2,exp-dropfirst,True,191,100,0.2,0,12,5,1.0,0.96477,0.28441,0.17351,0.98228
