challenge,chem_fp,groupsplit,conctype,set,fold,chem_prop,tax_pdm,tax_prop,exp,best_hp,idx_hp,n_estimators,eta,gamma,max_depth,min_child_weight,subsample,r2,rmse,mae,pearson
s-F2F-1,none,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,26,100,0.1,0,9,1,0.5,0.94703,0.34076,0.22704,0.97338
s-F2F-1,none,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,26,100,0.1,0,9,1,0.5,0.84058,0.59023,0.38377,0.91699
s-F2F-1,none,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,41,50,0.1,0,12,3,1.0,0.95312,0.34482,0.22836,0.97694
s-F2F-1,none,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,41,50,0.1,0,12,3,1.0,0.86036,0.59431,0.38563,0.92782
s-F2F-1,none,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,243,100,0.2,10,3,1,1.0,0.74265,0.75661,0.56893,0.86655
s-F2F-1,none,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,243,100,0.2,10,3,1,1.0,0.43836,1.08878,0.84137,0.67607
s-F2F-1,none,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,102,100,0.1,10,3,3,0.5,0.78256,0.74718,0.55969,0.88736
s-F2F-1,none,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,102,100,0.1,10,3,3,0.5,0.51367,1.09053,0.83104,0.72766
s-F2F-1,MACCS,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.95695,0.33045,0.21175,0.97829
s-F2F-1,MACCS,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.87366,0.56523,0.36645,0.93485
s-F2F-1,MACCS,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,159,100,0.2,0,6,1,1.0,0.94617,0.34352,0.2286,0.97287
s-F2F-1,MACCS,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,159,100,0.2,0,6,1,1.0,0.85257,0.56746,0.36772,0.92345
s-F2F-1,MACCS,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,294,100,0.3,0,3,3,0.5,0.89512,0.48288,0.3425,0.9464
s-F2F-1,MACCS,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,294,100,0.3,0,3,3,0.5,0.52763,0.99719,0.75452,0.73836
s-F2F-1,MACCS,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,291,100,0.3,0,3,1,1.0,0.9178,0.45922,0.32623,0.95839
s-F2F-1,MACCS,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,291,100,0.3,0,3,1,1.0,0.56875,1.0284,0.79427,0.77293
s-F2F-1,pcp,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.94929,0.35862,0.23818,0.97443
s-F2F-1,pcp,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.87363,0.56556,0.36729,0.93483
s-F2F-1,pcp,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.94382,0.35093,0.23142,0.97163
s-F2F-1,pcp,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,46,100,0.1,0,12,5,0.5,0.85505,0.56276,0.36376,0.92484
s-F2F-1,pcp,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,339,100,0.3,1,3,1,1.0,0.91295,0.47276,0.33825,0.95608
s-F2F-1,pcp,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,339,100,0.3,1,3,1,1.0,0.5939,0.99157,0.7649,0.78524
s-F2F-1,pcp,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,194,100,0.2,1,3,1,0.5,0.88142,0.51333,0.36885,0.93982
s-F2F-1,pcp,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,194,100,0.2,1,3,1,0.5,0.54137,0.98698,0.75119,0.74964
s-F2F-1,Morgan,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.9417,0.35747,0.24121,0.97063
s-F2F-1,Morgan,totallyrandom,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.85291,0.56702,0.36884,0.92365
s-F2F-1,Morgan,totallyrandom,molar,train,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.94712,0.3662,0.25073,0.97341
s-F2F-1,Morgan,totallyrandom,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,42,100,0.1,0,12,3,0.5,0.87223,0.56843,0.37212,0.93405
s-F2F-1,Morgan,occurrence,molar,train,mean,chemprop,none,none,exp-dropfirst,True,155,100,0.2,0,3,5,1.0,0.88981,0.53175,0.37788,0.94458
s-F2F-1,Morgan,occurrence,molar,valid,mean,chemprop,none,none,exp-dropfirst,True,155,100,0.2,0,3,5,1.0,0.57779,1.01367,0.76237,0.77171
s-F2F-1,Morgan,occurrence,mass,train,mean,chemprop,none,none,exp-dropfirst,True,151,100,0.2,0,3,3,1.0,0.87599,0.52525,0.37473,0.93787
s-F2F-1,Morgan,occurrence,mass,valid,mean,chemprop,none,none,exp-dropfirst,True,151,100,0.2,0,3,3,1.0,0.5146,1.01132,0.76744,0.72976
s-F2F-1,ToxPrint,totallyrandom,mass,train,mean,chemprop,none,none,exp-dropfirst,True,167,100,0.2,0,6,5,1.0,0.93168,0.38693,0.26505,0.96558
